lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Il1rn_Il1rl2,Il1rn,279.168542,87.69661,1.65934410494658,Il1rl2,9.131908,1.8691031,1.82023416544397,0.16089006049739
Fgg_Itga5,Fgg,0.175506,0.121039,0.0684454336336074,Itga5,195.791418,167.0098,0.228121918898561,0.159676485264954
Ntng2_Lrrc4,Ntng2,1.907962,1.971087,-0.0309824342334284,Lrrc4,0.1226002,0.0270925,0.128278104747896,0.159260538981324
Rtn2_Rtn4r,Rtn2,2.918046,0.498459,1.3866547255588,Rtn4r,2.52936,0.209382,1.54513658295994,0.15848185740114
Rtn2_Rtn4r,Rtn2,2.918046,0.498459,1.3866547255588,Rtn4r,2.52936,0.209382,1.54513658295994,0.15848185740114
Calm3_Adcy8,Calm3,242.03877,235.1302,0.0416039059739965,Adcy8,0.148643,0,0.199930475826283,0.158326569852287
Il1b_Il1r2,Il1b,0.2409098,1.23801,-0.85081823086632,Il1r2,0.298846,1.10352,-0.695575149925609,0.155243080940711
Guca2b_Gucy2c,Guca2b,0,0.168714,-0.224921926222628,Gucy2c,0,0.0505766,-0.0711813561197136,0.153740570102914
Lep_Leprot,Lep,0,0,0,Leprot,106.687,96.0969,0.149346957151757,0.149346957151757
Agt_Lrp2,Agt,0.363625,0.0537497,0.371914734026838,Lrp2,0.5162717,0.0573732,0.520043626513603,0.148128892486765
Wnt10b_Fzd6,Wnt10b,2.565415,0.135368,1.65091002497705,Fzd6,1.938892,0.03586257,1.50443973259547,0.14647029238158
Wnt10b_Fzd6,Wnt10b,2.565415,0.135368,1.65091002497705,Fzd6,1.938892,0.03586257,1.50443973259547,0.14647029238158
Sema5a_Met,Sema5a,3.78189,0.0100629,2.24313580623114,Met,6.903870441,0.8473532,2.09709957358245,0.14603623264869
Cd24a_Selp,Cd24a,91.186959,44.05455,1.03288986852627,Selp,3.671491,1.073936,1.17151171404999,0.13862184552372
Vegfa_Itgb3,Vegfa,64.4741479,42.49681,0.590015779590852,Itgb3,5.4329,2.88614,0.727131386417767,0.137115606826915
Avp_Oxtr,Avp,0,0,0,Oxtr,0.0995811,0,0.136954014609367,0.136954014609367
Il2_Il2rb,Il2,0.0989629,0,0.136142683021023,Il2rb,0,0,0,0.136142683021023
Gdf5_Bmpr2,Gdf5,0.792587,0,0.842043139246677,Bmpr2,16.191424,9.53703,0.706220769309983,0.135822369936694
Gal_Gpr151,Gal,0.637493,0.328615,0.301565631811498,Gpr151,0.121869,0,0.165904223108709,0.135661408702789
Cdh1_Klrg1,Cdh1,0.1780925,0.28969678,-0.13057909481862,Klrg1,0,0,0,0.13057909481862
Ccl25_Ackr2,Ccl25,5.245904,8.950123,-0.671803964665762,Ackr2,0,0.455313,-0.541329472710553,0.130474491955209
Vtn_Itgb5,Vtn,0.5084425,0.409969,0.0973962602979566,Itgb5,277.99026,284.391238,-0.0327262861612834,0.13012254645924
Lipc_Lrp1,Lipc,0,0.740244,-0.799289600850205,Lrp1,186.5028755,355.3835891,-0.926518183957013,0.127228583106808
Wnt5a_Fzd1,Wnt5a,41.001978,0.0937953,5.26304259723112,Fzd1,37.4633,0.0928279,5.13734441908866,0.12569817814246
Cort_Sstr5,Cort,0,0.174984,-0.232641111447452,Sstr5,0,0.0771267,-0.107187960848417,0.125453150599035
Fgb_Itga5,Fgb,0.322013,0.23088,0.103046245070829,Itga5,195.791418,167.0098,0.228121918898561,0.125075673827732
Fgf1_Nrp1,Fgf1,0.0787653,0.0980285,-0.0255344797379725,Nrp1,135.2608767,126.2424643,0.0987911763010896,0.124325656039062
Efnb2_Ephb2,Efnb2,39.9103,0.121411,5.18907708511886,Ephb2,37.873124,0.160797,5.06558545200146,0.1234916331174
Psen1_Ncstn,Psen1,60.9945,72.18452,-0.239398292908826,Ncstn,117.082424,127.144526,-0.117977609267989,0.121420683640837
Ccl24_Ackr2,Ccl24,0.0787957,0.446096,-0.422741653471648,Ackr2,0,0.455313,-0.541329472710553,0.118587819238905
Npvf_Npffr1,Npvf,0,0,0,Npffr1,0.117874,0.0302794,0.117721952603117,0.117721952603117
Dscam_Dcc,Dscam,0.0123516,0,0.0177104397153879,Dcc,0.0963907,0,0.132761995844016,0.115051556128628
Apoc3_Lrp1,Apoc3,0.473096,1.587058,-0.812460946340422,Lrp1,186.5028755,355.3835891,-0.926518183957013,0.114057237616591
Hgf_Cd44,Hgf,6.9713433,9.34674,-0.376281514840527,Cd44,185.139953,222.431201,-0.263442916633299,0.112838598207228
Nxph1_Nrxn2,Nxph1,0,0,0,Nrxn2,0.0810982,0,0.112497574153511,0.112497574153511
Nxph1_Nrxn2,Nxph1,0,0,0,Nrxn2,0.0810982,0,0.112497574153511,0.112497574153511
App_Trpc6,App,753.447,588.005,0.35713967380668,Trpc6,0.4745477,0.065218,0.469123780300826,0.111984106494146
Nodal_Acvr1c,Nodal,0,0.0481443,-0.0678373490923619,Acvr1c,0.0302191,0,0.0429511926207869,0.110788541713149
Ghrl_Ghsr,Ghrl,2.300007,2.056956,0.11037329764702,Ghsr,0,0,0,0.11037329764702
